sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version
F404_0405,C_Inco718_RPM11292_T650_OR247.57_BR68.3005,405,D:\sdfdata\F404HPT\data\raw\pdf\F404_0405.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0405.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0405.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,68.3005,247.57,87.92,7811.26951,6591005.993,14.55491116,99.90627072,0.187720171,0.528545284,0.352095701,0.119359014,53.98033908,1447471.577,48224.67963,10,sdf_meridian_v0.1
F404_0406,C_Inco718_RPM11292_T650_OR250.398_BR72.4605,406,D:\sdfdata\F404HPT\data\raw\pdf\F404_0406.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0406.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0406.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.4605,250.398,85.328,8037.000158,7054269.002,14.01168115,100.5920668,0.188115382,0.492859616,0.38813398,0.119006405,57.77446313,1647880.158,51245.33568,10,sdf_meridian_v0.1
F404_0407,C_Inco718_RPM11292_T650_OR257.93_BR72.9805,407,D:\sdfdata\F404HPT\data\raw\pdf\F404_0407.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0407.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0407.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.9805,257.93,77.456,8314.097843,7368987.683,15.016071,103.071715,0.227912005,0.457179681,0.399182259,0.143638061,60.35200913,1753634.298,50737.642,10,sdf_meridian_v0.1
F404_0408,C_Inco718_RPM11292_T650_OR245.414_BR68.6775,408,D:\sdfdata\F404HPT\data\raw\pdf\F404_0408.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0408.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0408.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,68.6775,245.414,75.216,7592.089311,6379570.287,14.3492566,98.4946386,0.187656661,0.535042659,0.384821548,0.080135793,52.24868065,1383702.72,48067.56729,10,sdf_meridian_v0.1
F404_0409,C_Inco718_RPM11292_T650_OR255.522_BR70.8745,409,D:\sdfdata\F404HPT\data\raw\pdf\F404_0409.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0409.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0409.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,70.8745,255.522,79.12,7834.003221,6818864.099,15.49878111,100.5921593,0.229757548,0.499470168,0.391061967,0.109467865,55.84649697,1586305.207,48243.84662,10,sdf_meridian_v0.1
F404_0410,C_Inco718_RPM11292_T650_OR245.358_BR66.5845,410,D:\sdfdata\F404HPT\data\raw\pdf\F404_0410.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0410.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0410.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,66.5845,245.358,75.44,7768.105113,6461917.721,14.51464086,99.62985164,0.185707742,0.5471875,0.3553125,0.0975,52.92310614,1391314.187,47498.18646,10,sdf_meridian_v0.1
F404_0411,C_Inco718_RPM11292_T650_OR256.39_BR68.5475,411,D:\sdfdata\F404HPT\data\raw\pdf\F404_0411.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0411.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0411.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,68.5475,256.39,74.672,8536.866807,7474948.991,13.15819216,100.5921005,0.238971048,0.498297634,0.349739258,0.151963108,61.21983224,1795521.75,57212.22223,10,sdf_meridian_v0.1
F404_0412,C_Inco718_RPM11292_T650_OR245.694_BR70.0035,412,D:\sdfdata\F404HPT\data\raw\pdf\F404_0412.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0412.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0412.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,70.0035,245.694,82.576,7819.889659,6607501.774,14.72266657,100.5921775,0.191864669,0.533002285,0.368737915,0.0982598,54.11543953,1441247.063,46955.39537,10,sdf_meridian_v0.1
F404_0413,C_Inco718_RPM11292_T650_OR256.894_BR71.1475,413,D:\sdfdata\F404HPT\data\raw\pdf\F404_0413.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0413.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0413.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,71.1475,256.894,75.728,7986.424837,6909635.315,14.69543055,100.5922117,0.235069075,0.517074728,0.35891123,0.124014043,56.58991323,1603193.471,51429.04785,10,sdf_meridian_v0.1
F404_0414,C_Inco718_RPM11292_T650_OR249.222_BR70.4325,414,D:\sdfdata\F404HPT\data\raw\pdf\F404_0414.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0414.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0414.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,70.4325,249.222,85.968,7879.77841,6648632.777,15.42653549,100.5920904,0.178192043,0.525362801,0.378378378,0.09625882,54.45230244,1441985.143,46109.16183,10,sdf_meridian_v0.1
